filename,sub_id,snapshot,view,Name,Name_ext,snapshot_n,SubfindID,c_axis,b_axis,a_axis,Name_joined,snapshot_joined,subhalo_id,view_joined,stellar_mass,re_kpc,sample_manga,manga_ifu_dsn,distances_selec,n_star_part,n_gas_cell,type,c/a,c/b,b/a,c_a,b_a
TNG50-91-517750-0-127.cube_maps.fits,517750,91,0,91_517750,91_517750_0,91,517750,2.4315808,7.127059,7.6854753,91_517750,91,517750,0,10.639993,14.265749,2,19,0.9723333,733280,794605,1,0.3163865219890824,0.3411759043947861,0.9273413447831912,0.3163865219890824,0.9273413447831912
TNG50-94-515782-0-127.cube_maps.fits,515782,94,0,94_515782,94_515782_0,94,515782,2.2076871,8.272578,9.026365,94_515782,94,515782,0,10.609682,16.060295,1,127,0.41911408,679035,745438,1,0.244582077059813,0.2668680911802826,0.9164905252557368,0.24458207705981308,0.9164905252557368
TNG50-96-565004-0-127.cube_maps.fits,565004,96,0,96_565004,96_565004_0,96,565004,0.6427162,0.80570894,0.81132704,96_565004,96,565004,0,9.236913,2.0214632,2,37,0.023495099,30715,25125,1,0.7921789467290526,0.7977027039069468,0.9930754187608488,0.7921789467290526,0.9930754187608489
TNG50-94-432855-0-127.cube_maps.fits,432855,94,0,94_432855,94_432855_0,94,432855,2.8364582,5.2309947,5.6300516,94_432855,94,432855,0,10.688619,11.353205,0,127,0.1772217,835137,736021,1,0.5038067857140066,0.5422406946808798,0.9291202055768016,0.5038067857140066,0.9291202055768015
TNG50-97-354951-0-127.cube_maps.fits,354951,97,0,97_354951,97_354951_0,97,354951,0.90536666,1.875175,1.9638264,97_354951,97,354951,0,9.33402,4.181059,1,127,0.029843995,38174,7108,1,0.4610217379703216,0.4828171557321316,0.9548578224633296,0.4610217379703216,0.9548578224633297
TNG50-97-207093-0-127.cube_maps.fits,207093,97,0,97_207093,97_207093_0,97,207093,1.0704308,1.5190597,1.5548772,97_207093,97,207093,0,9.931412,3.8340497,0,91,0.034944806,165067,41947,1,0.6884343020786465,0.7046667092807479,0.9769644187978316,0.6884343020786465,0.9769644187978317
TNG50-97-692090-0-127.cube_maps.fits,692090,97,0,97_692090,97_692090_0,97,692090,1.3300595,4.5482035,4.847408,97_692090,97,692090,0,9.153099,8.795756,1,127,0.11151141,23377,165045,1,0.2743857129418444,0.2924362333391634,0.9382753628330852,0.2743857129418444,0.9382753628330852
TNG50-95-635070-0-127.cube_maps.fits,635070,95,0,95_635070,95_635070_0,95,635070,0.76002884,2.1347008,2.1644402,95_635070,95,635070,0,9.974441,4.4459605,2,37,0.26814088,157732,210563,1,0.3511433764721243,0.3560353001226214,0.9862600038568864,0.3511433764721243,0.9862600038568864
TNG50-97-584616-1-127.cube_maps.fits,584616,97,1,97_584616,97_584616_1,97,584616,0.31032962,0.5072972,0.6665792,97_584616,97,584616,1,10.197898,1.2944785,1,19,0.75854087,295116,452336,3,0.4655555108830277,0.6117313874391579,0.7610456491891736,0.46555551088302777,0.7610456491891736
TNG50-97-733913-2-127.cube_maps.fits,733913,97,2,97_733913,97_733913_2,97,733913,0.37520838,0.50573874,0.6865163,97_733913,97,733913,2,9.538267,1.471245,1,61,0.1459228,63099,10286,3,0.5465396524452515,0.7419015992328372,0.7366740454669467,0.5465396524452515,0.7366740454669467
